#,Directory,New_R1,New_R2,Original_R1,Original_R2,Sample_Name,Dev_Type,Sex,Coast,Location,SampleID
1,Bar_L,Bar_L_F01_R1.fastq,Bar_L_F01_R2.fastq,Bar_J_L_S3_L003_R1_001_trimmed.fastq.gz,Bar_J_L_S3_L003_R2_001_trimmed.fastq.gz,Bar_J_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F01_R1.fastq
2,Bar_L,Bar_L_F02_R1.fastq,Bar_L_F02_R2.fastq,Bar_L_L_S4_L003_R1_001_trimmed.fastq.gz,Bar_L_L_S4_L003_R2_001_trimmed.fastq.gz,Bar_L_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F02_R1.fastq
3,Bar_L,Bar_L_F03_R1.fastq,Bar_L_F03_R2.fastq,Bar_H_L_S5_L003_R1_001_trimmed.fastq.gz,Bar_H_L_S5_L003_R2_001_trimmed.fastq.gz,Bar_H_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F03_R1.fastq
4,Bar_L,Bar_L_F04_R1.fastq,Bar_L_F04_R2.fastq,Bar_O_L_S6_L003_R1_001_trimmed.fastq.gz,Bar_O_L_S6_L003_R2_001_trimmed.fastq.gz,Bar_O_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F04_R1.fastq
5,Bar_L,Bar_L_F05_R1.fastq,Bar_L_F05_R2.fastq,Bar_R1_L_S7_L003_R1_001_trimmed.fastq.gz,Bar_R1_L_S7_L003_R2_001_trimmed.fastq.gz,Bar_R1_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F05_R1.fastq
6,Bar_L,Bar_L_F06_R1.fastq,Bar_L_F06_R2.fastq,Bar_X1_L_S8_L003_R1_001_trimmed.fastq.gz,Bar_X1_L_S8_L003_R2_001_trimmed.fastq.gz,Bar_X1_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F06_R1.fastq
7,Bar_L,Bar_L_F07_R1.fastq,Bar_L_F07_R2.fastq,Bar_RH_L_S14_L003_R1_001_trimmed.fastq.gz,Bar_RH_L_S14_L003_R2_001_trimmed.fastq.gz,Bar_RH_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F07_R1.fastq
8,Bar_L,Bar_L_F08_R1.fastq,Bar_L_F08_R2.fastq,Bar_P2_L_S10_L003_R1_001_trimmed.fastq.gz,Bar_P2_L_S10_L003_R2_001_trimmed.fastq.gz,Bar_P2_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F08_R1.fastq
9,Bar_L,Bar_L_F09_R1.fastq,Bar_L_F09_R2.fastq,Bar_V2_L_S11_L003_R1_001_trimmed.fastq.gz,Bar_V2_L_S11_L003_R2_001_trimmed.fastq.gz,Bar_V2_L,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F09_R1.fastq
10,Bar_L,Bar_L_F10_R1.fastq,Bar_L_F10_R2.fastq,BAR523L_D_S86_L003_R1_001_trimmedF.fastq.gz,BAR523L_D_S86_L003_R2_001_trimmedF.fastq.gz,BAR523L_D,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F10_R1.fastq
11,Bar_L,Bar_L_F11_R1.fastq,Bar_L_F11_R2.fastq,BAR523L_H_S85_L003_R1_001_trimmedF.fastq.gz,BAR523L_H_S85_L003_R2_001_trimmedF.fastq.gz,BAR523L_H,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F11_R1.fastq
12,Bar_L,Bar_L_F12_R1.fastq,Bar_L_F12_R2.fastq,BAR523L_F_S84_L003_R1_001_trimmedF.fastq.gz,BAR523L_F_S84_L003_R2_001_trimmedF.fastq.gz,BAR523L_F,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F12_R1.fastq
13,Bar_L,Bar_L_F13_R1.fastq,Bar_L_F13_R2.fastq,BAR523L_C_S83_L003_R1_001_trimmedF.fastq.gz,BAR523L_C_S83_L003_R2_001_trimmedF.fastq.gz,BAR523L_C,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F13_R1.fastq
14,Bar_L,Bar_L_F14_R1.fastq,Bar_L_F14_R2.fastq,BAR523L_N_S104_L003_R1_001_trimmedF.fastq.gz,BAR523L_N_S104_L003_R2_001_trimmedF.fastq.gz,BAR523L_N,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F14_R1.fastq
15,Bar_L,Bar_L_F15_R1.fastq,Bar_L_F15_R2.fastq,BAR523L_M_S81_L003_R1_001_trimmedF.fastq.gz,BAR523L_M_S81_L003_R2_001_trimmedF.fastq.gz,BAR523L_M,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F15_R1.fastq
16,Bar_L,Bar_L_F16_R1.fastq,Bar_L_F16_R2.fastq,BAR523L_I_S82_L003_R1_001_trimmedF.fastq.gz,BAR523L_I_S82_L003_R2_001_trimmedF.fastq.gz,BAR523L_I,L,female,Atlantic,"Barnegat Bay, NJ",Bar_L_F16_R1.fastq
17,Bar_P,Bar_P_F01_R1.fastq,Bar_P_F01_R2.fastq,Bar_Z1_P_S1_L003_R1_001_trimmed.fastq.gz,Bar_Z1_P_S1_L003_R2_001_trimmed.fastq.gz,Bar_Z1_P,P,female,Atlantic,"Barnegat Bay, NJ",Bar_P_F01_R1.fastq
18,Bar_P,Bar_P_F02_R1.fastq,Bar_P_F02_R2.fastq,Bar_SI_head_P_S2_L003_R1_001_trimmed.fastq.gz,Bar_SI_head_P_S2_L003_R2_001_trimmed.fastq.gz,Bar_SI(head)_P,P,female,Atlantic,"Barnegat Bay, NJ",Bar_P_F02_R1.fastq
19,Bar_P,Bar_P_F03_R1.fastq,Bar_P_F03_R2.fastq,Bar_MCX2_P_S12_L003_R1_001_trimmed.fastq.gz,Bar_MCX2_P_S12_L003_R2_001_trimmed.fastq.gz,Bar_MCX#2_P,P,female,Atlantic,"Barnegat Bay, NJ",Bar_P_F03_R1.fastq
20,Bar_P,Bar_P_F04_R1.fastq,Bar_P_F04_R2.fastq,Bar_MCXx3_P_S13_L003_R1_001_trimmed.fastq.gz,Bar_MCXx3_P_S13_L003_R2_001_trimmed.fastq.gz,Bar_MCXx#3_P,P,female,Atlantic,"Barnegat Bay, NJ",Bar_P_F04_R1.fastq
21,Beau,Beau_P_U01_R1.fastq,Beau_P_U01_R2.fastq,Beaufort_17_S102_L003_R1_001_trimmedF.fastq.gz,Beaufort_17_S102_L003_R2_001_trimmedF.fastq.gz,Beaufort_17,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U01_R1.fastq
22,Beau,Beau_P_U02_R1.fastq,Beau_P_U02_R2.fastq,Beaufort_15_S101_L003_R1_001_trimmedF.fastq.gz,Beaufort_15_S101_L003_R2_001_trimmedF.fastq.gz,Beaufort_15,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U02_R1.fastq
23,Beau,Beau_P_U03_R1.fastq,Beau_P_U03_R2.fastq,Beaufort_14_S100_L003_R1_001_trimmedF.fastq.gz,Beaufort_14_S100_L003_R2_001_trimmedF.fastq.gz,Beaufort_14,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U03_R1.fastq
24,Beau,Beau_P_U04_R1.fastq,Beau_P_U04_R2.fastq,Beaufort_7_S98_L003_R1_001_trimmedF.fastq.gz,Beaufort_7_S98_L003_R2_001_trimmedF.fastq.gz,Beaufort_7,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U04_R1.fastq
25,Beau,Beau_P_U05_R1.fastq,Beau_P_U05_R2.fastq,Beaufort_6_S97_L003_R1_001_trimmedF.fastq.gz,Beaufort_6_S97_L003_R2_001_trimmedF.fastq.gz,Beaufort_6,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U05_R1.fastq
26,Beau,Beau_P_U06_R1.fastq,Beau_P_U06_R2.fastq,Beaufort_4_S96_L003_R1_001_trimmedF.fastq.gz,Beaufort_4_S96_L003_R2_001_trimmedF.fastq.gz,Beaufort_4,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U06_R1.fastq
27,Beau,Beau_P_U07_R1.fastq,Beau_P_U07_R2.fastq,Beaufort_3_S95_L003_R1_001_trimmedF.fastq.gz,Beaufort_3_S95_L003_R2_001_trimmedF.fastq.gz,Beaufort_3,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U07_R1.fastq
28,Beau,Beau_P_U08_R1.fastq,Beau_P_U08_R2.fastq,Beaufort_2_S94_L003_R1_001_trimmedF.fastq.gz,Beaufort_2_S94_L003_R2_001_trimmedF.fastq.gz,Beaufort_2,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U08_R1.fastq
29,Beau,Beau_P_U09_R1.fastq,Beau_P_U09_R2.fastq,Beaufort_1_S93_L003_R1_001_trimmedF.fastq.gz,Beaufort_1_S93_L003_R2_001_trimmedF.fastq.gz,Beaufort_1,P,unknown,Atlantic,"Beaufort, NC",Beau_P_U09_R1.fastq
30,Clam,Clam_L_F01_R1.fastq,Clam_L_F01_R2.fastq,Clam9_L_F_S30_L001_R1_001_trimmed.fastq.gz,Clam9_L_F_S30_L001_R2_001_trimmed.fastq.gz,Clam9_L_F,L,female,Atlantic,"Clam Beach, SC",Clam_L_F01_R1.fastq
31,Clam,Clam_L_F02_R1.fastq,Clam_L_F02_R2.fastq,Clam10_L_F_S31_L001_R1_001_trimmed.fastq.gz,Clam10_L_F_S31_L001_R2_001_trimmed.fastq.gz,Clam10_L_F,L,female,Atlantic,"Clam Beach, SC",Clam_L_F02_R1.fastq
32,Clam,Clam_U01_R1.fastq,Clam_U01_R2.fastq,Clam12_S32_L001_R1_001_trimmed.fastq.gz,Clam12_S32_L001_R2_001_trimmed.fastq.gz,Clam12,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U01_R1.fastq
33,Clam,Clam_U02_R1.fastq,Clam_U02_R2.fastq,Clam13_S33_L001_R1_001_trimmed.fastq.gz,Clam13_S33_L001_R2_001_trimmed.fastq.gz,Clam13,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U02_R1.fastq
34,Clam,Clam_U03_R1.fastq,Clam_U03_R2.fastq,Clam14_S34_L001_R1_001_trimmed.fastq.gz,Clam14_S34_L001_R2_001_trimmed.fastq.gz,Clam14,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U03_R1.fastq
35,Clam,Clam_U04_R1.fastq,Clam_U04_R2.fastq,Clam15_S35_L001_R1_001_trimmed.fastq.gz,Clam15_S35_L001_R2_001_trimmed.fastq.gz,Clam15,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U04_R1.fastq
36,Clam,Clam_U05_R1.fastq,Clam_U05_R2.fastq,Clam16_S36_L001_R1_001_trimmed.fastq.gz,Clam16_S36_L001_R2_001_trimmed.fastq.gz,Clam16,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U05_R1.fastq
37,Clam,Clam_U06_R1.fastq,Clam_U06_R2.fastq,Clamextras_S60_L001_R1_001_trimmed.fastq.gz,Clamextras_S60_L001_R2_001_trimmed.fastq.gz,Clamextras,unknown,unknown,Atlantic,"Clam Beach, SC",Clam_U06_R1.fastq
38,FL,FL_P_F01_R1.fastq,FL_P_F01_R2.fastq,FL_M9_10_S58_L003_R1_001_trimmedF.fastq.gz,FL_M9_10_S58_L003_R2_001_trimmedF.fastq.gz,FL_M9_10,P,female,Atlantic,"Fort Pierce, FL",FL_P_F01_R1.fastq
39,FL,FL_P_F02_R1.fastq,FL_P_F02_R2.fastq,FL_M9_9_S62_L001_R1_001_trimmed.fastq.gz,FL_M9_9_S62_L001_R2_001_trimmed.fastq.gz,FL_M9_9,P,female,Atlantic,"Fort Pierce, FL",FL_P_F02_R1.fastq
40,FL,FL_P_F03_R1.fastq,FL_P_F03_R2.fastq,FL_M9_8_S56_L003_R1_001_trimmedF.fastq.gz,FL_M9_8_S56_L003_R2_001_trimmedF.fastq.gz,FL_M9_8,P,female,Atlantic,"Fort Pierce, FL",FL_P_F03_R1.fastq
41,FL,FL_P_F04_R1.fastq,FL_P_F04_R2.fastq,FL_M9_6_S55_L003_R1_001_trimmedF.fastq.gz,FL_M9_6_S55_L003_R2_001_trimmedF.fastq.gz,FL_M9_6,P,female,Atlantic,"Fort Pierce, FL",FL_P_F04_R1.fastq
42,FL,FL_P_F05_R1.fastq,FL_P_F05_R2.fastq,FL_M9_3_S61_L001_R1_001_trimmed.fastq.gz,FL_M9_3_S61_L001_R2_001_trimmed.fastq.gz,FL_M9_3,P,female,Atlantic,"Fort Pierce, FL",FL_P_F05_R1.fastq
43,FL,FL_P_F06_R1.fastq,FL_P_F06_R2.fastq,FL_M9_4_S54_L003_R1_001_trimmedF.fastq.gz,FL_M9_4_S54_L003_R2_001_trimmedF.fastq.gz,FL_M9_4,P,female,Atlantic,"Fort Pierce, FL",FL_P_F06_R1.fastq
44,FL,FL_P_U01_R1.fastq,FL_P_U01_R2.fastq,FL_M9_F_S64_L003_R1_001_trimmedF.fastq.gz,FL_M9_F_S64_L003_R2_001_trimmedF.fastq.gz,FL_M9_F,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U01_R1.fastq
45,FL,FL_P_U02_R1.fastq,FL_P_U02_R2.fastq,FL_M9_E_S63_L003_R1_001_trimmedF.fastq.gz,FL_M9_E_S63_L003_R2_001_trimmedF.fastq.gz,FL_M9_E,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U02_R1.fastq
46,FL,FL_P_U03_R1.fastq,FL_P_U03_R2.fastq,FL_M9_D_S62_L003_R1_001_trimmedF.fastq.gz,FL_M9_D_S62_L003_R2_001_trimmedF.fastq.gz,FL_M9_D,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U03_R1.fastq
47,FL,FL_P_U04_R1.fastq,FL_P_U04_R2.fastq,FL_M9_C_S61_L003_R1_001_trimmedF.fastq.gz,FL_M9_C_S61_L003_R2_001_trimmedF.fastq.gz,FL_M9_C,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U04_R1.fastq
48,FL,FL_P_U05_R1.fastq,FL_P_U05_R2.fastq,FL_M9_B_S60_L003_R1_001_trimmedF.fastq.gz,FL_M9_B_S60_L003_R2_001_trimmedF.fastq.gz,FL_M9_B,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U05_R1.fastq
49,FL,FL_P_U06_R1.fastq,FL_P_U06_R2.fastq,FL_M9_A_S71_L001_R1_001_trimmed.fastq.gz,FL_M9_A_S71_L001_R2_001_trimmed.fastq.gz,FL_M9_A,P,unknown,Atlantic,"Fort Pierce, FL",FL_P_U06_R1.fastq
50,Gal,Gal_L_F01_R1.fastq,Gal_L_F01_R2.fastq,TX_L_7F_S5_L001_R1_001_trimmed.fastq.gz,TX_L_7F_S5_L001_R2_001_trimmed.fastq.gz,TX_L_7F,L,female,Gulf,"Galveston, TX",Gal_L_F01_R1.fastq
51,Gal,Gal_L_F02_R1.fastq,Gal_L_F02_R2.fastq,TX_L_9F_S6_L001_R1_001_trimmed.fastq.gz,TX_L_9F_S6_L001_R2_001_trimmed.fastq.gz,TX_L_9F,L,female,Gulf,"Galveston, TX",Gal_L_F02_R1.fastq
52,Gal,Gal_L_F03_R1.fastq,Gal_L_F03_R2.fastq,TX_L_11F_S7_L001_R1_001_trimmed.fastq.gz,TX_L_11F_S7_L001_R2_001_trimmed.fastq.gz,TX_L_11F,L,female,Gulf,"Galveston, TX",Gal_L_F03_R1.fastq
53,Gal,Gal_L_F04_R1.fastq,Gal_L_F04_R2.fastq,TX_L_13F_S8_L001_R1_001_trimmed.fastq.gz,TX_L_13F_S8_L001_R2_001_trimmed.fastq.gz,TX_L_13F,L,female,Gulf,"Galveston, TX",Gal_L_F04_R1.fastq
54,Gal,Gal_L_F05_R1.fastq,Gal_L_F05_R2.fastq,TX_L_14F_S9_L001_R1_001_trimmed.fastq.gz,TX_L_14F_S9_L001_R2_001_trimmed.fastq.gz,TX_L_14F,L,female,Gulf,"Galveston, TX",Gal_L_F05_R1.fastq
55,Gal,Gal_L_F06_R1.fastq,Gal_L_F06_R2.fastq,TX_L_15F_S10_L001_R1_001_trimmed.fastq.gz,TX_L_15F_S10_L001_R2_001_trimmed.fastq.gz,TX_L_15F,L,female,Gulf,"Galveston, TX",Gal_L_F06_R1.fastq
56,Gal,Gal_L_F07_R1.fastq,Gal_L_F07_R2.fastq,TX_L_16F_S11_L001_R1_001_trimmed.fastq.gz,TX_L_16F_S11_L001_R2_001_trimmed.fastq.gz,TX_L_16F,L,female,Gulf,"Galveston, TX",Gal_L_F07_R1.fastq
57,Gal,Gal_L_F08_R1.fastq,Gal_L_F08_R2.fastq,TX_L_17F_S12_L001_R1_001_trimmed.fastq.gz,TX_L_17F_S12_L001_R2_001_trimmed.fastq.gz,TX_L_17F,L,female,Gulf,"Galveston, TX",Gal_L_F08_R1.fastq
58,Gal,Gal_L_F09_R1.fastq,Gal_L_F09_R2.fastq,TX_L_18F_S13_L001_R1_001_trimmed.fastq.gz,TX_L_18F_S13_L001_R2_001_trimmed.fastq.gz,TX_L_18F,L,female,Gulf,"Galveston, TX",Gal_L_F09_R1.fastq
59,Gal,Gal_L_F10_R1.fastq,Gal_L_F10_R2.fastq,TX_L_19F_S14_L001_R1_001_trimmed.fastq.gz,TX_L_19F_S14_L001_R2_001_trimmed.fastq.gz,TX_L_19F,L,female,Gulf,"Galveston, TX",Gal_L_F10_R1.fastq
60,Gal,Gal_L_M01_R1.fastq,Gal_L_M01_R2.fastq,TX_L_1M_S15_L001_R1_001_trimmed.fastq.gz,TX_L_1M_S15_L001_R2_001_trimmed.fastq.gz,TX_L_1M,L,male,Gulf,"Galveston, TX",Gal_L_M01_R1.fastq
61,Gal,Gal_L_M02_R1.fastq,Gal_L_M02_R2.fastq,TX_L_2M_S16_L001_R1_001_trimmed.fastq.gz,TX_L_2M_S16_L001_R2_001_trimmed.fastq.gz,TX_L_2M,L,male,Gulf,"Galveston, TX",Gal_L_M02_R1.fastq
62,Gal,Gal_L_M03_R1.fastq,Gal_L_M03_R2.fastq,TX_L_3M_S17_L001_R1_001_trimmed.fastq.gz,TX_L_3M_S17_L001_R2_001_trimmed.fastq.gz,TX_L_3M,L,male,Gulf,"Galveston, TX",Gal_L_M03_R1.fastq
63,Gal,Gal_L_M04_R1.fastq,Gal_L_M04_R2.fastq,TX_L_4M_S18_L001_R1_001_trimmed.fastq.gz,TX_L_4M_S18_L001_R2_001_trimmed.fastq.gz,TX_L_4M,L,male,Gulf,"Galveston, TX",Gal_L_M04_R1.fastq
64,Gal,Gal_L_U01_R1.fastq,Gal_L_U01_R2.fastq,TX_L_1_S1_L001_R1_001_trimmed.fastq.gz,TX_L_1_S1_L001_R2_001_trimmed.fastq.gz,TX_L_1,L,unknown,Gulf,"Galveston, TX",Gal_L_U01_R1.fastq
